Sample,Strength,,11.71550105,10.56615483,10.28334624,6.903486029,,,,,,,,,
1,11.71550105,,11.98156908,13.45535856,12.17773217,8.990110322,,,,,,,,,
1,11.98156908,,8.043929165,7.418840456,10.55980776,6.971273449,,,,,,,,,
1,8.043929165,,10.55816044,12.03131356,9.655186531,9.160389621,,,,,,,,,
1,10.55816044,,14.07946306,7.776633218,8.790274845,8.678426355,,,,,,,,,
1,14.07946306,,10.7768675,10.74893904,10.86245666,11.44383167,,,,,,,,,
1,10.7768675,,7.860269512,10.7269804,10.37818381,10.78044122,,,,,,,,,
1,7.860269512,,11.88967173,4.477291372,10.18805153,5.666759985,,,,,,,,,
1,11.88967173,,11.94231429,6.803820358,11.62452005,10.77604071,,,,,,,,,
1,11.94231429,,13.17745445,5.37189215,12.30590475,9.008764936,Anova: Single Factor,,,,,,,,
1,13.17745445,,,,,,,,,,,,,,
2,10.56615483,,,,,,SUMMARY,,,,,,,,
2,13.45535856,,,,,,Groups,Count,Sum,Average,Variance,,,,
2,7.418840456,,,,,,Column 1,10,112.0252003,11.20252003,3.978935696,,,,
2,12.03131356,,,,,,Column 2,10,89.37722395,8.937722395,8.881371511,,,,
2,7.776633218,,,,,,Column 3,10,106.8254643,10.68254643,1.215366902,,,,
2,10.74893904,,,,,,Column 4,10,88.37952429,8.837952429,3.531656769,,,,
2,10.7269804,,,,,,,,,,,,,,
2,4.477291372,,,,,,,,,,,,,,
2,6.803820358,,,,,,ANOVA,,,,,,,,
2,5.37189215,,,,,,Source of Variation,SS,df,MS,F,P-value,F crit,,
3,10.28334624,,,,,,Between Groups,43.61938198,3,14.53979399,3.303122794,0.031054179,2.866265551,,Fcritic<F: H0Rejected
3,12.17773217,,,,,,Within Groups,158.4659779,36,4.40183272,,,,,
3,10.55980776,,,,,,,,,,,,,,
3,9.655186531,,,,,,Total,202.0853599,39,,,,,,
3,8.790274845,,,,,,,,,,,,,,
3,10.86245666,,,,,,,,,,,,,,
3,10.37818381,,,,,,,,,,,,,,
3,10.18805153,,,,,,,,,,,,,,
3,11.62452005,,,,,,,,,,,,,,
3,12.30590475,,,,,,,,,,,,,,
4,6.903486029,,,,,,,,,,,,,,
4,8.990110322,,,,,,,,,,,,,,
4,6.971273449,,,,,,,,,,,,,,
4,9.160389621,,,,,,,,,,,,,,
4,8.678426355,,,,,,,,,,,,,,
4,11.44383167,,,,,,,,,,,,,,
4,10.78044122,,,,,,,,,,,,,,
4,5.666759985,,,,,,,,,,,,,,
4,10.77604071,,,,,,,,,,,,,,
4,9.008764936,,,,,,,,,,,,,,
